SL_NO,BRAND_CATEGORY, BRAND,SIZE_ML,MAXIMUM_RETAIL_PRICE_PER_BOTTLE,PRICE_DURATION
1,DELUXE PRESTIGE BRAND,OFFICERS CHOICE PRESTIGE WHISKY,1000,376,2024_Q1
2,DELUXE PRESTIGE BRAND,OFFICERS CHOICE PRESTIGE WHISKY,750,282,2024_Q1
3,DELUXE PRESTIGE BRAND,OFFICERS CHOICE PRESTIGE WHISKY,375,141,2024_Q1
4,DELUXE PRESTIGE BRAND,OFFICERS CHOICE PRESTIGE WHISKY,180,71,2024_Q1
5,DELUXE PRESTIGE BRAND,OLD MONK VERY OLD VATTED XXX DELUXE,750,282,2024_Q1
6,DELUXE PREMIUM BRAND,AC BLACK PURE GRAIN DELUXE WHISKY,750,360,2024_Q1
7,DELUXE PREMIUM BRAND,AC BLACK PURE GRAIN DELUXE WHISKY,375,180,2024_Q1
8,DELUXE PREMIUM BRAND,AC BLACK PURE GRAIN DELUXE WHISKY,180,90,2024_Q1
9,DELUXE PREMIUM BRAND,IICE BARE IT ALL VODKA PREMIUM,750,354,2024_Q1
10,DELUXE PREMIUM BRAND,IICE BARE IT ALL VODKA PREMIUM,375,177,2024_Q1
11,DELUXE PREMIUM BRAND,IICE BARE IT ALL VODKA PREMIUM,180,89,2024_Q1
12,DELUXE PREMIUM BRAND,IMPERIAL BLUE SUPERIOR GRAIN WHISKY,750,360,2024_Q1
13,DELUXE PREMIUM BRAND,IMPERIAL BLUE SUPERIOR GRAIN WHISKY,375,180,2024_Q1
14,DELUXE PREMIUM BRAND,IMPERIAL BLUE SUPERIOR GRAIN WHISKY,180,90,2024_Q1
15,DELUXE PREMIUM BRAND,MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM,750,313,2024_Q1
16,DELUXE PREMIUM BRAND,MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM,375,156,2024_Q1
17,DELUXE PREMIUM BRAND,MC. DOWELLS NO.1 CELEBRATION MATURED XXX RUM,180,78,2024_Q1
18,DELUXE PREMIUM BRAND,OFFICERS CHOICE BLUE PURE GRAIN WHISKY,750,360,2024_Q1
19,DELUXE PREMIUM BRAND,OFFICERS CHOICE BLUE PURE GRAIN WHISKY,375,180,2024_Q1
20,DELUXE PREMIUM BRAND,OFFICERS CHOICE BLUE PURE GRAIN WHISKY,180,90,2024_Q1
21,DELUXE PREMIUM BRAND,OLD MONK VERY OLD VATTED XXX RUM,750,351,2024_Q1
22,DELUXE PREMIUM BRAND,OLD MONK VERY OLD VATTED XXX RUM,375,175,2024_Q1
23,DELUXE PREMIUM BRAND,OLD MONK VERY OLD VATTED XXX RUM,180,88,2024_Q1
24,DELUXE PREMIUM BRAND,TRIPLE CROWN PREMIUM BLENDED BRANDY,750,351,2024_Q1
25,DELUXE PREMIUM BRAND,TRIPLE CROWN PREMIUM BLENDED BRANDY,375,175,2024_Q1
26,DELUXE PREMIUM BRAND,TRIPLE CROWN PREMIUM BLENDED BRANDY,180,88,2024_Q1
27,DELUXE PREMIUM BRAND,MC. DOWELLS NO.1 RESERVE WHISKY,750,360,2024_Q1
28,DELUXE PREMIUM BRAND,MC. DOWELLS NO.1 RESERVE WHISKY,375,180,2024_Q1
29,DELUXE PREMIUM BRAND,MC. DOWELLS NO.1 RESERVE WHISKY,180,90,2024_Q1
30,DELUXE PREMIUM BRAND,MC. DOWELLS NO.1 LUXURY PREMIUM WHISKY,750,360,2024_Q1
31,DELUXE PREMIUM BRAND,MC. DOWELLS NO.1 LUXURY PREMIUM WHISKY,375,180,2024_Q1
32,DELUXE PREMIUM BRAND,MC. DOWELLS NO.1 LUXURY PREMIUM WHISKY,180,90,2024_Q1
33,SEMI PREMIUM BRAND,BLACK BY BACARDI CLASSIC ORIGINAL PREMIUM CRAFTED RUM,750,486,2024_Q1
34,SEMI PREMIUM BRAND,BLACK BY BACARDI CLASSIC ORIGINAL PREMIUM CRAFTED RUM,375,248,2024_Q1
35,SEMI PREMIUM BRAND,BLACK BY BACARDI CLASSIC ORIGINAL PREMIUM CRAFTED RUM,180,124,2024_Q1
36,SEMI PREMIUM BRAND,IICE BITE THE APPLE VODKA PREMIUM,750,450,2024_Q1
37,SEMI PREMIUM BRAND,IICE BITE THE APPLE VODKA PREMIUM,375,230,2024_Q1
38,SEMI PREMIUM BRAND,IICE BITE THE APPLE VODKA PREMIUM,180,120,2024_Q1
39,SEMI PREMIUM BRAND,M2 MAGIC MOMENTS PURE GRAIN VODKA,750,436,2024_Q1
40,SEMI PREMIUM BRAND,M2 MAGIC MOMENTS PURE GRAIN VODKA,375,218,2024_Q1
41,SEMI PREMIUM BRAND,M2 MAGIC MOMENTS PURE GRAIN VODKA,180,109,2024_Q1
42,SEMI PREMIUM BRAND,M2 MAGIC MOMENTS REMIX SMOOTH FLAVOURED VODKA GREEN APPLE,750,480,2024_Q1
43,SEMI PREMIUM BRAND,M2 MAGIC MOMENTS REMIX SMOOTH FLAVOURED VODKA GREEN APPLE,375,250,2024_Q1
44,SEMI PREMIUM BRAND,M2 MAGIC MOMENTS REMIX SMOOTH FLAVOURED VODKA GREEN APPLE,180,135,2024_Q1
45,SEMI PREMIUM BRAND,M2 MAGIC MOMENTS REMIX REMIX CHOCOLATE FLAVOURED VODKA,750,497,2024_Q1
46,SEMI PREMIUM BRAND,M2 MAGIC MOMENTS REMIX REMIX CHOCOLATE FLAVOURED VODKA,375,258,2024_Q1
47,SEMI PREMIUM BRAND,M2 MAGIC MOMENTS REMIX REMIX CHOCOLATE FLAVOURED VODKA,180,139,2024_Q1
48,SEMI PREMIUM BRAND,OAKSMITH INTERNATIONAL BLENDED WHISKY,750,547,2024_Q1
49,SEMI PREMIUM BRAND,OAKSMITH INTERNATIONAL BLENDED WHISKY,375,278,2024_Q1
50,SEMI PREMIUM BRAND,OAKSMITH INTERNATIONAL BLENDED WHISKY,180,135,2024_Q1
51,SEMI PREMIUM BRAND,ROYAL CHALLENGE FINEST PREMIUM WHISKY,750,464,2024_Q1
52,SEMI PREMIUM BRAND,ROYAL CHALLENGE FINEST PREMIUM WHISKY,375,237,2024_Q1
53,SEMI PREMIUM BRAND,ROYAL CHALLENGE FINEST PREMIUM WHISKY,180,120,2024_Q1
54,SEMI PREMIUM BRAND,ROYAL GREEN DELUXE BLENDED WHISKY,750,481,2024_Q1
